name,type,token,location,make,model,plant,building,area,templow,temphigh,humhigh,humlow,timeout
GCW/MN/019-I16-00,RHT Sensors,IOTGW04_130,Dissolution Area-II,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I07-00,RHT Sensors,IOTGW04_131,GC Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/019-I11-00,RHT Sensors,IOTGW04_132,Sample Preparation Area,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I12-00,RHT Sensors,IOTGW04_133,Sieving & Sample Destruction Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I11-00,RHT Sensors,IOTGW04_134,Chamber Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I10-00,RHT Sensors,IOTGW04_135,Weighing Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/019-I10-00,RHT Sensors,IOTGW04_136,Wet Lab,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I09-00,RHT Sensors,IOTGW04_137,Hot Zone,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,	
GCW/MN/019-I07-00,RHT Sensors,IOTGW04_138,Instrumentation Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/019-I09-00,RHT Sensors,IOTGW04_139,Dissolution Area,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/019-I08-00,RHT Sensors,IOTGW04_140,HPLC Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/018-I08-01,RHT Sensors,IOTGW04_141,Sample Storage Room,Radix,HAWKEYE,Gagillapur,CWH Block,OLD QC,1,5,1,5,
GCW/MN/016-I24-00,RHT Sensors,IOTGW04_142,Water Wet Analysis Room,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,	
GCW/MN/016-I26-00,RHT Sensors,IOTGW04_143,General Lab,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,	
GCW/MN/016-I27-00,RHT Sensors,IOTGW04_144,Incubator Room,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,	
GCW/MN/017-I18-00,RHT Sensors,IOTGW04_145,LAF-1,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,	
GCW/MN/017-I19-00,RHT Sensors,IOTGW04_146,LAF-2,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,
GCW/MN/017-I20-00,RHT Sensors,IOTGW04_147,BSC,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,
GCW/MN/016-I25-00,RHT Sensors,IOTGW04_148,Media Preparation Room,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,
GCW/MN/016-I28-00,RHT Sensors,IOTGW04_149,Media Storage Room,Radix,HAWKEYE,Gagillapur,CWH Block,Microbiology,1,5,1,5,
